name,lat,lon
Uncleree farm,13.719371,100.447627
Santi Wana Eco Community ชุมชนนิเวศน์สันติวนา (ร่วมกับททท.),13.921485,100.561416
สวนผักคุณตา เกษตรพอเพียง,13.780389,100.713003
สวนผักคนเมือง,13.852055,100.465204
ศูนย์อบรมบ้านสวนเรียนรู้ Organic Way,13.677471,100.512227
ศูนย์อบรมสวนผักบ้านคุณตา,13.693917,100.601645
ศูนย์เรียนรู้เกษตรในเมือง สาขาเจ้าชายน้อย,13.819668,100.60826
ศูนย์การเรียนรู้การทำเกษตรในเมือง ศูนย์สุวรรณภูมิ,13.623275,100.710264
ศูนย์อบรมบ้านเรียนรู้ใส่ใจ,,
ศูนย์อบรมปลูกง่าย ๆ สไตล์คนเมือง บ้านป้อมเอง,13.718824,100.604907
สวนเกษตรดาดฟ้า สำนักงานเขตหลักสี่,13.887344,100.579217
ศูนย์เรียนรู้สุขภาวะ สำนักงานกองทุนสนับสนุนการสร้างเสริมสุขภาพ (สสส.),13.719437,100.543234
ศูนย์อบรมสวนผักหฤหรรษ์ปันยิ้ม,14.070453,100.54976
